Date,Open,Close,High,Low,Volume
2013-03-31 23:00:00,93.2,93.033,93.29,92.9,116.00180000000002
2013-04-01 00:00:00,93.25,93.1,100.0,93.03,345.58388931
2013-04-01 01:00:00,93.37999,93.1,93.48797,93.1,45.24333505
2013-04-01 02:00:00,93.17,93.74,94.0,93.10999,466.3114199999999
2013-04-01 03:00:00,93.8,92.70002,93.8,92.49999,96.31618
2013-04-01 04:00:00,93.15501,93.15503,93.15503,93.15501,5.0
2013-04-01 05:00:00,93.7,93.79,93.79,93.7,22.089999999999996
2013-04-01 06:00:00,94.06751,94.00001,94.48,94.0,84.0
2013-04-01 08:00:00,93.55,94.0,94.0,93.55,3.80737067
2013-04-01 09:00:00,94.22999,94.23,94.23,94.22999,1.97
2013-04-01 10:00:00,94.39986,95.0,95.0,94.0,228.55045454999996
2013-04-01 11:00:00,94.05,96.0,96.0,94.0,250.10163818
2013-04-01 12:00:00,96.675,98.5,98.5,95.98264,218.81651926
2013-04-01 13:00:00,97.4,99.9,99.9,97.4,83.0
2013-04-01 14:00:00,99.62055,103.5,105.0,99.00001,650.91447813
2013-04-01 15:00:00,105.9,102.2,105.9,96.3,1478.6414561000004
2013-04-01 16:00:00,103.29,102.1,104.5,102.1,563.2138816099999
2013-04-01 17:00:00,102.2,102.9999,103.17999,102.0,43.10582608
2013-04-01 18:00:00,102.49998,102.49999,102.49999,102.49998,8.0
2013-04-01 19:00:00,103.458,104.0,104.4,102.11099,227.08619999999996
2013-04-01 21:00:00,103.93,104.01,104.5,103.1,174.33776224000002
2013-04-01 22:00:00,105.5,105.0,105.5,105.0,48.210365030000006
2013-04-01 23:00:00,103.0,103.999,103.999,102.23099,180.10053676
2013-04-02 00:00:00,104.0,103.24871,104.01871,103.0,40.31870451
2013-04-02 01:00:00,102.89999,102.37,103.69998,102.33,45.76133407
2013-04-02 02:00:00,102.8,104.99901,104.99901,102.8,47.88604434999999
2013-04-02 03:00:00,105.0,104.75,105.6,104.7,88.3632
2013-04-02 04:00:00,104.72,104.998,106.0,103.5,173.99816862
2013-04-02 05:00:00,103.0,102.98,103.08,99.0,1329.8384635600003
2013-04-02 06:00:00,102.99,101.02,103.0,101.02,70.0
2013-04-02 07:00:00,102.79801,102.747,102.79801,102.0,70.88327519
2013-04-02 08:00:00,102.77689,104.5,104.9,102.77689,189.30177901000005
2013-04-02 09:00:00,105.0,105.3,105.51,103.52761,613.2777913800003
2013-04-02 10:00:00,105.45,105.33,107.65,103.77,1132.0145428699993
2013-04-02 11:00:00,105.23999,106.6,106.6,104.4,224.7741352800001
2013-04-02 12:00:00,106.50003,107.90001,107.975,106.201,94.06010884999998
2013-04-02 13:00:00,107.90002,107.2,108.0399,107.2,179.26831425999998
2013-04-02 14:00:00,107.8,108.05,108.86,107.5,143.65293285000004
2013-04-02 15:00:00,108.40895848,107.09988488,108.47999,107.09988488,318.5205241100001
2013-04-02 16:00:00,108.0,108.32021292,108.35012931,107.75147349,284.58832615000006
2013-04-02 17:00:00,108.36899,108.09999,108.37447485,108.007,179.14763773000004
2013-04-02 18:00:00,108.60001,109.95,110.25,108.399,542.52583765
2013-04-02 19:00:00,109.99998,115.0,115.25,109.151,779.213045330001
2013-04-02 20:00:00,115.0,112.1221439,115.0,112.1221439,562.5436457500002
2013-04-02 21:00:00,113.78964456,115.7625,115.79983854,113.78964456,334.04412492
2013-04-02 22:00:00,115.36893245,114.9348,115.7625,113.51525957,612.18982568
2013-04-02 23:00:00,115.0,118.22935407,118.3867,114.94196603,320.35571599
2013-04-03 00:00:00,117.95826131,117.81528725,117.95826131,116.3,529.1314040699999
2013-04-03 01:00:00,118.35,117.98999,118.3880667,117.1,265.25397239
2013-04-03 02:00:00,116.57909668,121.5506,121.93299797,116.57909668,126.86792736999992
2013-04-03 03:00:00,122.0,123.01621056,127.0,121.14,796.9584438
2013-04-03 04:00:00,123.00054418,121.01008454,123.40062759,117.99441783,826.9190876300004
2013-04-03 05:00:00,121.01092105,124.63694215,126.8,119.0,518.8400647600002
2013-04-03 06:00:00,124.00958618,136.5482124,140.0316671,124.00958618,713.3132345600006
2013-04-03 07:00:00,134.25,145.0,145.0,130.0,431.34328178000015
2013-04-03 08:00:00,143.66312025,142.0,146.88,142.0,136.10108791
2013-04-03 09:00:00,125.0,128.68073493,145.5,124.93767887,1134.5860167599985
2013-04-03 10:00:00,129.99,139.86391808,140.3924,128.74836463,691.1437329600001
2013-04-03 11:00:00,137.39324502,139.1,141.0375018,136.94101256,525.6551790300001
2013-04-03 12:00:00,139.29978939,142.0444,142.0444,138.97638144,84.43731586
2013-04-03 13:00:00,141.05293,138.0,141.995,138.0,7.57221982
2013-04-03 14:00:00,135.0,135.0,135.0,135.0,3.8000000000000003
2013-04-03 15:00:00,137.1,130.0,138.0,130.0,26.36636
2013-04-03 16:00:00,130.0,134.28,137.0,130.0,457.4280127000001
2013-04-03 17:00:00,134.8,138.79470623,139.5,133.93379331,958.6162410000004
2013-04-03 18:00:00,137.6,129.96978404,138.7,120.0,1229.8394063899984
2013-04-03 19:00:00,125.0,129.91950996,140.08,110.0,973.5070138000001
2013-04-03 20:00:00,130.0,115.1,130.0,103.96,1112.9570409199996
2013-04-03 21:00:00,118.0,123.0,127.0,101.51088,869.4626623699988
2013-04-03 22:00:00,122.9924,121.48785665,126.8,114.05778213,238.64328029000006
2013-04-03 23:00:00,124.0,134.7,135.8,121.61593,337.50208601000094
2013-04-04 00:00:00,134.71656,120.0,135.0,120.0,466.8036473100001
2013-04-04 01:00:00,125.96122206,134.95296889,135.0,122.0,240.73883517
2013-04-04 02:00:00,131.77968624,126.27202553,131.77968624,123.75,119.82032661000001
2013-04-04 03:00:00,124.00068921,125.5,126.10314867,119.0,825.9434908900004
2013-04-04 04:00:00,125.5,132.96,132.96,125.5,575.4711642000001
2013-04-04 05:00:00,132.79262664,130.02092047,132.79262664,126.9468683,198.03202852999985
2013-04-04 06:00:00,130.0,131.39862,132.94707814,129.97513944,43.40444797000001
2013-04-04 07:00:00,131.19037958,132.8,133.0,131.19037958,7.867065859999999
2013-04-04 08:00:00,132.32953043,133.0,133.0,130.56083016,9.10031464
2013-04-04 09:00:00,134.0,133.99622549,134.99,133.97550142,52.99275658
2013-04-04 10:00:00,131.99,133.504,136.0,131.99,326.72524342000014
2013-04-04 11:00:00,133.702,137.06,138.63,133.702,186.98598825
2013-04-04 12:00:00,138.63,140.501,143.0,135.986,767.6359548200002
2013-04-04 13:00:00,140.05,136.091,140.5,136.091,477.87963052000015
2013-04-04 14:00:00,137.071,133.51,137.5,133.51,196.95365184999997
2013-04-04 15:00:00,132.788,135.0,136.5,132.1,436.2927315999999
2013-04-04 16:00:00,135.0,134.502,135.002,133.378,113.39800398999999
2013-04-04 17:00:00,135.0,131.891,135.4,128.0,950.4093489000003
2013-04-04 18:00:00,131.579,132.682,133.0,131.42,95.97999999999998
2013-04-04 19:00:00,133.899,131.989,134.238,131.502,48.84
2013-04-04 20:00:00,132.503,134.828,136.7,131.817,267.48425917000003
2013-04-04 21:00:00,133.999,134.12,134.196,132.999,16.558493530000003
2013-04-04 22:00:00,134.12,132.99,134.12,131.0,516.76577652
